vehicle_make_model,prices
Hero Honda Passion PRO,
Hero Honda Passion X Pro,
Hero Honda Pleasure,
Hero Honda Sleek,
Hero Honda Splendor,
Hero Honda Splendor NXG,
Hero Honda Splendor Plus,
Hero Honda Splendor Plus,
Hero Honda Splendor PRO,
Hero Honda Splendor PRO,
Hero Honda Street Smart,
Hero Honda Super Splendor,
Hero Honda Super Splendor,
Hero Honda Super Splendor,
Hero Honda Super Splendor,
Hero Honda Winner,
Hero Honda Xtreme,
Vida V1,133703.0
Vida V1,146066.0
Honda Activa 125,78405.0
Honda Activa 125,82074.0
Honda Activa 125,85579.0
Honda Activa 125,62289.0
Honda Activa 125,60328.0
Honda Activa 125,64694.0
Honda Activa 125,58781.0
Honda Activa 125,63684.0
Honda Activa,49323.0
Honda Activa,
Honda Activa 3G,52309.0
Honda Activa 4G,52705.0
Honda Activa 5G,57063.0
Honda Activa 5G,58929.0
Honda Activa 5G,57708.0
Honda Activa 5G,59468.0
Honda Activa 6G,78291.0
Honda Activa 6G,81995.0
Honda Activa 6G,74187.0
Honda Activa 6G,76359.0
Honda Activa i,52991.0
Honda Activa i,48941.0
Honda Activa i,51896.0
Honda Africa Twin,1755500.0
Honda Africa Twin,1601500.0
Honda Africa Twin,1318982.0
Honda Africa Twin,1329843.0
Honda Africa Twin,1350000.0
Honda Africa Twin,1535000.0
Honda Africa Twin,1610000.0
Honda Africa Twin,1752079.0
Honda Africa Twin,1597940.0
Honda Aviator,58616.0
Honda Aviator,60552.0
Honda Aviator,62971.0
Honda Aviator,53817.0
Honda Aviator,58690.0
Honda Aviator,55260.0
Honda Aviator,59607.0
Honda Aviator,57188.0
Honda Aviator,
Honda CB1000R,366417.0
Honda CB1000R,1341699.0
Honda CB1000R+,1468532.0
Honda CB200X,148556.0
Honda CB 250N,
Honda CB300F,226217.0
Honda CB300F,229217.0
Honda CB300R,277332.0
Honda CB300R,241001.0
Honda CB350RS,214856.0
Honda CB350RS,217857.0
Honda CB350RS,217857.0
Honda CB350RS,
Honda CB350RS,
Honda CB 400,
Honda CB500X,580630.0
Honda CB650R,914337.0
Honda CBF Stunner,59038.0
Honda CBF Stunner,70991.0
Honda CBF Stunner,60683.0
Honda CBF Stunner,
Honda CB Hornet 160R,82405.0
Honda CB Hornet 160R,86814.0
Honda CB Hornet 160R,93761.0
Honda CB Hornet 160R,96262.0
Honda CB Hornet 160R,87101.0
Honda CB Hornet 160R,91729.0
Honda CB Hornet 160R,82500.0
Honda CB Hornet 160R,87013.0
Honda CBR1000RR-R Fireblade,2372222.0
Honda CBR1000RR-R Fireblade,2423651.0
Honda CBR1000RR Fireblade,1639085.0
Honda CBR1000RR Fireblade,2054339.0
Honda CBR1000RR Fireblade,1581345.0
Honda CBR1000RR Fireblade,1912945.0
Honda CBR1000RR Fireblade,1606873.0
Honda CBR150 R,123656.0
Honda CBR150 R,126996.0
Honda CBR-250R,165522.0
Honda CBR-250R,155655.0
Honda CBR-250R,194613.0
Honda CBR-250R,182447.0
Honda CBR-250R,167693.0
Honda CBR250R,166572.0
Honda CBR250R,197321.0
Honda CBR-250R,196569.0
Honda CBR 400RR,
Honda CBR 600F2,
Honda CBR 600RR,
Honda CBR650F,709543.0
Honda CBR 650R,934817.0
Honda CBR 650R,770000.0
Honda CBR 900RR,
Honda CBR 954RR,
Honda CBR Fireblade,
